real,imag
518164.935386,62834.311948
240094.860816,208763.539772
436375.874234,47866.841396
301202.114099,288904.368749
610135.483243,-61781.253990
217583.454711,2107.994491
245396.557390,-49161.296085
177444.127254,397323.772797
606951.505912,-23578.887287
116464.077694,135797.057526
461052.772221,128430.933201
258394.360191,207273.355776
500119.419307,127271.147753
430332.973995,184381.388233
480661.863155,-129018.539862
206753.780501,206616.441812
481775.564709,-20643.184119
145578.278242,249101.668197
536468.347141,203688.430821
401459.878859,239391.894891
587665.163268,112938.332870
560643.016046,137638.130054
419028.456469,-205160.424561
225485.633200,374143.866445
634324.640000,55140.537031
326953.387263,293136.952675
673617.483451,202091.831807
709508.469788,281465.736957
814261.797179,-271933.504304
262639.532054,2438.729225
533782.863799,157076.789059
692365.761335,96176.593521
319464.538508,-195107.350844
475706.254706,518261.311800
635244.606817,-29298.097988
698297.378209,553874.388957
950264.114058,-275349.821071
524480.170105,229548.967823
814659.075386,-163478.626497
651142.161779,71480.196548
259598.943041,-304837.200701
547564.455160,969869.198537
1120214.326763,-234641.546804
614047.059632,569076.585609
1190732.385997,-283428.339370
564906.716823,332138.067997
920733.492451,-138058.861193
822435.825436,729105.399222
1375411.192690,-365793.605943
689457.012471,464793.195476
1303074.383459,-161500.177130
1061970.958928,596793.091570
1510254.355043,-428521.773321
1263809.734330,541840.169254
1487815.337231,-1067107.609727
560977.621366,1006862.147649
2415480.707644,-605046.769957
616116.222381,237390.418952
2077936.943010,-107167.653401
1541137.353177,751010.296648
3301608.783381,-850739.943230
1484776.812860,-748518.312103
2267605.618453,-1152395.205037
1574075.878861,-214320.039312
2709266.882444,-1708170.873793
1194802.016279,-719071.791870
1997506.487808,-1870185.046862
705346.584523,532035.655444
3429503.195522,-1231714.659589
1323132.021909,149393.329987
4421153.861518,-1228288.325866
1868617.291079,-940175.824753
3362554.890323,-168422.196606
5992243.738191,2505337.277317
8593834.726925,-2098690.815032
18412036.231882,5804612.159771
35400878.473877,-37075706.379807
-31664349.075347,-47694667.866705
-27240542.200719,7937966.008072
-7504999.578245,-1617740.594518
-9596093.462486,3460331.252452
-5093505.345608,283745.225874
-4112965.053970,3770005.175185
-2132678.398868,-1316829.264311
-3882137.566304,2050519.697499
-1850022.708057,-514726.551355
-2705585.264413,1699708.292074
-1541392.694866,-834912.241344
-2864303.745973,1693300.045205
-966207.762573,51615.254882
-1935011.991814,1524900.739751
-182281.505546,77128.155338
-1261158.350293,489243.701014
-626716.302248,-340241.135275
-1315519.490634,288674.824832
-1102542.496996,-170160.530123
-961988.607133,791918.680614
-770329.362512,-374861.132134
-946624.972270,856364.959422
-334390.411196,-402151.018009
-958326.075237,376446.156898
-611820.778634,-243704.042793
-646041.939854,497974.363719
-522940.703681,-547393.860510
-862796.086315,413801.338125
-620169.181311,-390010.487106
-784430.554791,525068.457834
-662003.351490,-346430.874967
-668931.315975,940393.155749
35761.091258,-440701.706313
-710716.820559,386123.518578
-85461.989145,-452755.923693
-788233.783340,248889.097234
-103976.760759,-357848.131877
-778026.692770,16100.218632
-411836.081399,-283917.617850
-750557.832142,182242.438689
-445188.009595,-217943.267637
-731889.458805,320222.943331
-355500.237299,-80840.085916
-559597.908061,378084.776762
-191829.973957,-100788.626466
-441446.917408,254253.291716
-180959.364271,-175239.290096
-370930.474832,153952.142919
-260671.281465,-322855.009902
-484544.336154,147441.025160
-360399.170003,-291498.515634
-521235.736903,314692.381862
-189978.389021,-249650.749951
-564743.872691,226973.202206
-163119.272739,-84521.993841
-356968.975482,146069.671375
-207898.961462,-212888.640160
-367311.267344,111392.032371
-316681.145375,-259531.010482
-400964.521393,271016.339984
-143054.664618,-255116.704775
-403721.258414,125691.818162
-246794.786453,-267612.004469
-428978.762247,208038.632693
-178545.240387,-265273.681322
-488821.890195,178652.332739
-160039.913409,-154366.561786
-392667.749729,151859.623397
-152586.271432,-181853.259347
-360093.799649,120669.951573
-162348.911550,-229676.155347
-386380.696957,88507.931763
-213856.325828,-255251.570273
-496630.352503,121779.455353
-222468.642494,-57788.724025
-270399.421843,167649.644652
-173805.974575,-225746.528930
-333077.752699,156368.738883
-140043.464744,-241474.894134
-352152.461316,107453.308270
-172758.454395,-279349.030736
-434069.951266,115814.824064
-181951.853838,-236092.816152
-497020.831340,119766.085975
-237661.644075,-98661.391558
-392836.512275,285338.450248
-7115.046975,-92977.642959
-292446.405765,149793.460771
93342.259848,-217743.422597
-372602.400288,-146782.025084
-191396.621442,-229789.121050
-487322.246200,-56632.480557
-291164.717290,-59856.613806
-337914.482970,76080.191654
-266547.468504,-162749.982642
-444468.262347,169826.435442
-146049.247695,2235.186771
-237471.699063,110617.995071
-128194.186061,-175736.249393
-333612.928842,59664.323896
-165720.258205,-161965.604985
-373409.641345,76399.791787
-142690.438502,-97454.434857
-306396.965244,23281.361396
-216547.702458,-147968.516547
-327131.148935,84996.572560
-185853.952885,-153660.852907
-331384.815274,70952.554662
-208147.854985,-187848.191652
-414959.233543,107247.709944
-163596.525992,-81153.586640
-309976.201640,45048.792611
-259817.230897,-201236.636874
-483734.024045,162821.589728
-157798.926984,29387.087183
-245211.942194,84050.618692
-258197.637108,-158305.347539
-359165.254360,246679.403576
-55231.075408,-99918.323420
-322811.426511,60131.734519
-205142.526075,-133612.434989
-349560.927279,202023.610248
-44430.857537,-118839.569326
-328211.108421,28134.784847
-211128.620778,-160742.015889
-342350.359926,171714.522795
-102584.074045,-267644.708310
-596858.180862,102352.687219
-141658.197549,32420.997472
-386196.227216,119465.208564
-146399.172591,-57582.166689
-422917.539704,130481.849473
-166724.899545,-26275.541684
-414775.009469,193590.890104
-98803.008655,-893.456884
-402082.929059,136353.063289
-209310.498833,42505.119523
-334084.148476,353740.741891
40547.571698,34594.046242
-226756.116112,201056.239106
-12340.694448,-164186.353944
-432526.845815,272329.993245
117726.728821,-34446.505777
-398162.156363,179292.213224
114783.488047,-23245.244043
-388881.878205,178438.250330
190175.479669,-53747.654579
-492548.541262,51683.773300
24294.049359,85308.278884
-463329.351251,296707.398991
263571.039647,247172.667529
-270777.640553,262581.510238
394903.948743,322809.945066
134556.506739,307351.658569
676559.127197,-16073.037782
400245.663762,356291.585983
1543188.563245,-976234.365160
-755198.642273,-898832.057365
764076.214029,-178972.146878
-411105.228351,-756483.934131
637135.735611,-257435.738305
-242628.089313,-116847.288481
1998592.529566,-690129.586607
-485018.221965,282702.494749
9703063.314775,-1341563.896213
-1955284.284117,-18531623.013920
-16759931.663092,-244869.500772
-2330195.820560,5940422.711167
-2299964.557491,1276363.828501
