real,imag
-268679.223088,244285.177258
-249054.091642,323428.941478
-182413.504192,312743.886382
-126817.144167,284738.493289
-126970.316642,374829.205305
-97515.879872,374818.609157
14596.813900,275049.380438
106539.155224,50563.166123
-45085.087552,-285974.943427
-1043423.717295,-704301.296058
-10622479.439257,-9157081.868295
3661566.198399,1534174.575871
1624147.226378,296364.434300
1381496.214096,58396.677565
1017071.337075,164916.916128
817888.940282,-45828.979053
748175.793574,-129586.124052
599272.671015,-208729.358635
480936.700690,-163254.742574
433300.774946,-248952.601382
334569.380077,-112261.287158
292920.503835,-169753.871653
248499.986865,-142568.362583
193590.120610,-162328.700971
215482.519257,-91977.927835
123027.494515,-112386.106191
184370.786235,-64794.965494
159015.950190,-77697.447761
118188.372419,-28780.753697
106658.923143,-30902.050482
101492.917951,-121378.317910
147365.846596,-48760.625250
136687.736396,3866.102445
97827.055416,-12723.578081
141673.372405,-54266.662826
165535.076010,-74716.780492
131694.578743,-3930.074382
153139.017933,-6145.272662
144636.289329,-5807.325103
99574.974923,-21364.324992
147260.838406,6847.964646
120145.195920,-12340.553789
135435.229167,-9407.519810
98394.579055,-22121.837372
101559.065427,-5097.376273
81838.420533,-25774.304595
104405.145962,-47490.284254
85755.280621,-16092.332416
116343.999944,-21407.204638
94408.538276,-22563.705670
100789.169886,-31894.138210
117128.438015,9879.000568
111364.997394,31401.209970
72486.972158,2312.121612
141488.212826,-10802.212490
117757.974776,-37687.950630
146906.120657,-15020.558783
105611.354075,-9898.863145
128196.989920,-22266.945570
91225.756067,-10649.581457
97435.880484,-42583.438592
74561.041629,-8942.762845
115509.025976,-18573.004362
76757.164999,-5094.800722
65285.147122,-38664.788083
62164.128666,15861.068280
67748.321450,-3687.681062
52584.341197,-13766.114152
89611.016888,6817.472686
85467.113365,1270.263473
111704.302339,7380.151587
109641.437787,-18602.310514
81630.680983,-24724.299304
82663.514607,-13540.488000
65198.061149,-15414.738599
57318.191219,3099.806261
79421.913519,9637.393487
38000.219338,-26741.944589
53122.393729,-69308.043858
54070.034213,11236.556713
40653.125891,-6251.880301
29541.187960,52001.280031
85308.074295,40712.973889
6161.447355,95195.276898
47694.428186,76933.772829
69005.605841,109906.895238
71205.948209,73609.115939
88657.252770,121177.085837
101873.805762,84719.677933
133276.918523,104923.241424
181686.018077,126045.507152
179457.349730,145855.647659
168211.419151,45925.543860
182711.314732,-1235.599876
163084.598046,-24318.992537
129759.499807,-97071.377287
93453.763364,-72825.549490
3866.688795,-68075.307618
-183396.247129,-124952.606217
-431280.996315,-290982.666252
-591385.663615,10460.675368
-1387794.084260,572113.535904
-5878599.663495,2278524.422760
3107916.061894,-2004683.472272
941421.881385,-925443.293607
642415.106971,-593795.027015
516639.510287,-305560.340936
366793.394221,-354704.376224
311561.862223,-338659.018989
253938.077624,-324964.553504
226584.189313,-283899.900904
212085.329777,-269881.362247
190326.685962,-237659.836046
